Song Title,First,Last,Total,L100,SLP,TYPE
Burnout Man,2/24/85,2/24/85,1,0,3239,Cover
Thinkin',2/24/85,2/24/85,1,0,3239,Cover
Wipeout Jam,2/24/85,2/24/85,1,0,3239,Cover
Broken String Blues,10/24/85,10/24/85,1,0,3236,Cover
Born To Be Wild,4/25/86,4/25/86,1,0,3220,Cover
Foxy Lady,4/7/86,4/25/86,2,0,3220,Cover
Wurm,7/8/86,7/8/86,1,0,3205,Cover
The Chain,7/21/86,8/11/86,2,0,3197,Cover
Allhambra,12/8/86,12/8/86,1,0,3176,Original
New Minglewood Blues,??/??/86,12/12/86,10,0,3175,Cover
That's What Love Will Make You Do,10/6/86,1/3/87,7,0,3171,Cover
Wait for No One,2/24/85,5/13/87,2,0,3136,Original
Bertha,6/1/87,6/1/87,1,0,3126,Cover
Brown Eyed Girl,2/24/85,6/1/87,2,0,3126,Cover
Next Time You See Me,6/1/87,6/1/87,1,0,3126,Cover
Key to the Highway,6/1/87,9/8/87,2,0,3107,Cover
Who Do You Love,9/8/87,9/8/87,1,0,3107,Cover
You Gotta Move,6/1/87,9/8/87,2,0,3107,Cover
Scarlet Begonias,8/12/87,10/20/87,6,0,3097,Cover
"Man Smart, Woman Smarter",??/??/85,11/11/87,9,0,3093,Cover
There's A Hole In The Bucket,4/7/86,11/11/87,2,0,3093,Cover
Long Train Runnin',4/21/88,4/21/88,1,0,3056,Cover
Zebra Song,4/23/88,4/23/88,1,0,3054,Cover
Franklin's Tower,5/13/88,5/13/88,1,0,3043,Cover
I Ain't Got No Business Doin' Business Today,9/14/88,9/14/88,1,0,3010,Cover
Sugaree,2/24/85,10/2/88,35,0,2999,Cover
Wooden Ships,9/15/86,10/11/88,17,0,2995,Cover
Stranglehold,10/20/88,10/20/88,1,0,2989,Cover
Boys In The Barroom,11/19/88,11/25/88,2,0,2975,Cover
Iko Iko,2/24/85,1/26/89,21,0,2954,Cover
China Cat Sunflower,4/17/86,2/1/89,50,0,2953,Cover
Sweetness,2/1/89,2/1/89,1,0,2953,
Not Fade Away,2/24/85,2/14/89,29,0,2949,Cover
Cryptical Envelopment,6/22/85,3/11/89,32,0,2945,Cover
The Other One,2/24/85,3/11/89,47,0,2945,Cover
Me And My Uncle,5/13/87,5/5/89,65,0,2928,Cover
Another Man Done Gone,5/13/87,5/27/89,19,0,2924,Cover
Shouldn't Have Took More Than You Gave,3/17/86,5/27/89,25,0,2924,Cover
Black-Eyed Peas Jam,10/31/89,10/31/89,1,0,2878,
Shoot Out At The Fantasy Factory,10/31/89,12/31/89,9,0,2848,Cover
Snorkle Search,4/20/90,4/20/90,1,0,2790,Original
I Told Her I'd Be Early,6/11/87,6/5/90,5,0,2769,Cover
Freedom,8/23/90,8/23/90,1,0,2722,
American Standard,9/19/90,9/19/90,1,0,2714,Cover
Cisco Kid,9/22/90,9/22/90,1,0,2711,Cover
Do It Again,9/22/90,9/22/90,1,0,2711,Cover
Cardboard Box,4/14/86,10/6/90,6,0,2704,Original
Sun Keep,7/5/90,10/15/90,8,0,2702,Original
Knockin' On Heaven's Door,6/22/85,11/17/90,21,0,2687,Cover
Crossroads,6/5/90,11/23/90,2,0,2685,Cover
After Midnight,12/31/87,12/29/90,10,0,2675,Cover
Reflections,1/12/91,1/31/91,2,0,2657,
Giving Love,5/10/91,5/10/91,1,0,2645,
Lady Wisdom Sleeps,8/20/90,5/18/91,3,0,2641,
That's All Right Mama,03/??/86,5/29/91,11,0,2640,Cover
I Know You Rider,4/24/86,7/6/91,28,0,2630,Cover
The Big Lagoon,10/3/91,10/3/91,1,0,2569,Cover
Hearts Gone Blind,10/3/91,10/4/91,2,0,2568,Cover
Gotta Get Mean,10/29/91,10/29/91,1,0,2552,Cover
I Like It Like That,11/3/91,11/3/91,1,0,2549,Cover
Workin' On A Building,11/21/91,11/21/91,1,0,2534,Cover
Dog Song,7/7/90,5/24/92,37,0,2468,Original
ARU/WSP Jam,2/8/92,8/9/92,7,0,2427,Original
Benefactor,7/6/91,8/31/92,4,0,2423,Original
Strictly Volunteer Jam,9/14/92,9/14/92,1,0,2412,Original
???,6/6/87,4/23/93,3,0,2321,Original
Lullaby for NYC,11/20/93,11/20/93,1,0,2209,Original
Can't Help Falling In Love,2/24/94,2/24/94,1,0,2192,Cover
Havin' A Ball,7/16/94,7/23/94,2,0,2138,Original
Analyze,7/9/94,7/27/94,2,0,2136,Original
Cleburne Terrace,11/19/88,11/4/94,6,0,2093,Original
Rotgut,10/31/95,10/31/95,1,0,1948,Cover
Waiting For The Wind To Blow Down The Tree In My Backyard,1/19/96,1/19/96,1,0,1943,Original
Highway To Heaven,1/22/96,1/22/96,1,0,1941,Cover
Yer Blues,2/7/96,2/7/96,1,0,1930,Cover
Crack And Whistle,2/13/96,2/13/96,1,0,1926,Original
Solace,1/26/96,4/13/96,8,0,1909,Cover
Get Up Early In The Morning,5/18/92,5/26/96,53,0,1896,Cover
Space Truckin',10/31/96,10/31/96,1,0,1853,Cover
Sick And Tired,11/1/96,11/1/96,1,0,1852,Cover
Indian Song,12/29/96,12/29/96,1,0,1844,Cover
Fab Fox 'Fess Jam,12/30/96,12/30/96,1,0,1843,Cover
Westport Ferry (Not Berkeley CA),12/31/96,12/31/96,1,0,1842,Cover
Long Live Rock,10/31/97,10/31/97,1,0,1745,Cover
Orange Blossom Special,1/23/96,12/30/97,6,0,1724,Cover
It Was You,7/9/97,4/28/98,7,0,1699,Original
Smoke And Burn,3/30/95,7/31/98,29,0,1654,Original
Over The Hills And Far Away,10/31/98,12/31/98,2,0,1607,Cover
Misty Mountain Hop,10/31/99,10/31/99,1,0,1513,Cover
Won't Get Fooled Again,10/31/99,10/31/99,1,0,1513,Cover
I Wish You Would,6/1/87,11/13/99,4,0,1509,Cover
Respect Yourself,12/31/99,12/31/99,1,0,1497,Cover
What A Wonderful World,12/31/99,12/31/99,1,0,1497,Cover
Train Kept A Rollin',4/5/00,4/5/00,1,0,1493,Cover
Cross Cut Saw,12/3/94,6/27/00,2,0,1465,Cover
Early In The Morning Blues,6/27/00,6/27/00,1,0,1465,Cover
West Virginia,1/26/93,10/27/00,86,0,1424,Original
Band On The Run,10/29/00,10/29/00,1,0,1422,Cover
Light My Fire,11/2/00,11/2/00,1,0,1420,Cover
Shiek,3/24/96,11/18/00,4,0,1410,Cover
Magic Bus,11/30/00,11/30/00,1,0,1402,Cover
Boogie Chillen,6/22/01,6/22/01,1,0,1378,Cover
Raise The Roof,1/27/94,6/22/01,45,0,1378,Original
The Wind Cries Mary,10/31/99,7/29/01,5,0,1349,Cover
Lonely Avenue,8/19/01,8/19/01,1,0,1347,Cover
Crime And Punishment,10/17/01,10/17/01,1,0,1340,Cover
Ball of Confusion,7/22/89,10/31/01,3,0,1329,Cover
Joe's Garage,10/31/01,10/31/01,1,0,1329,Cover
Love For Sale,10/31/01,10/31/01,1,0,1329,Cover
Long May You Live,4/5/86,11/8/01,8,0,1323,Cover
Drive,10/17/01,11/17/01,2,0,1315,Original
Adirondacks,12/31/01,12/31/01,1,0,1307,Cover
My Last Act,12/31/01,12/31/01,1,0,1307,Cover
Scholarship,12/31/01,4/22/02,2,0,1303,Cover
You Got It All Wrong,4/22/02,4/22/02,1,0,1303,Cover
You're With Me Now,4/22/02,4/22/02,1,0,1303,Cover
Testify,12/31/99,6/22/02,2,0,1297,Cover
Hot In Herre,10/31/02,10/31/02,1,0,1272,Cover
Louisiana Truck Stop,11/2/02,11/2/02,1,0,1270,Cover
Get Up (I Feel Like Being A Sex Machine),10/31/02,11/10/02,2,0,1264,Cover
Rainy Day Women #12 & 35,4/20/02,11/10/02,2,0,1264,Cover
Skin It Back,10/31/02,11/12/02,3,0,1263,Cover
God Was In The Water,7/12/02,11/15/02,7,0,1261,Cover
And When I Die,12/31/02,12/31/02,1,0,1258,Cover
Blind,12/31/02,12/31/02,1,0,1258,Cover
This Week In Baseball,5/7/03,5/7/03,1,0,1236,Cover
"Baby, Let Me Hold Your Hand",1/25/96,5/14/03,6,0,1232,Cover
Ring of Fire,5/16/03,5/16/03,1,0,1231,Cover
Daddy's Drinkin' Again,7/29/03,7/29/03,1,0,1202,Original
Grandma's Hands,8/7/03,8/7/03,1,0,1195,Cover
Tears of a Woman,7/7/99,8/9/03,16,0,1193,Original
We'll Be Fine,6/26/01,10/5/03,3,0,1181,Cover
"Shake, Rattle, And Roll",11/1/96,10/12/03,3,0,1176,Cover
She Walks Right In,10/12/03,10/12/03,1,0,1176,Cover
Meeting of the Waters,4/18/03,10/26/03,13,0,1166,Original
Yard of Blonde Girls,5/10/03,10/26/03,11,0,1166,Cover
Love Is The Drug,10/31/03,10/31/03,1,0,1163,Cover
Pet Sematary,10/31/03,10/31/03,1,0,1163,Cover
The Time Warp,10/31/03,10/31/03,1,0,1163,Cover
On Broadway,11/1/03,11/1/03,1,0,1162,Cover
Get In Get Out,7/5/02,12/31/03,12,0,1157,Cover
Last Date,4/7/05,4/7/05,1,0,1147,Cover
Longer Look,4/14/05,4/14/05,1,0,1141,Original
Busted,4/20/05,4/20/05,1,0,1136,Cover
Tonight's the Night,5/14/03,4/26/05,9,0,1132,Cover
We Gotta Get Out Of This Place,5/7/05,5/7/05,1,0,1124,Cover
I Ain't Superstitious,6/12/05,6/12/05,1,0,1122,Cover
Little Red Rooster,6/12/05,6/12/05,1,0,1122,Cover
Wang Dang Doodle,9/8/87,6/12/05,3,0,1122,Cover
Run For Your Life,4/16/05,9/1/05,9,0,1091,Cover
If You'se A Viper,4/20/05,10/4/05,6,0,1080,Cover
Daisy Mae,11/1/02,10/21/05,22,0,1068,Original
Nowhere To Run,10/31/05,10/31/05,1,0,1061,Cover
Spirit In The Dark,10/31/05,10/31/05,1,0,1061,Cover
Midnight Train To Georgia,12/31/05,12/31/05,1,0,1054,Cover
Georgia On A Fast Train,12/31/05,4/22/06,2,0,1052,Cover
Junco Partner,7/21/92,5/8/06,17,0,1051,Cover
I Like The Things About Me,7/23/03,6/28/06,17,0,1043,Cover
Interstellar Overdrive,5/2/03,7/11/06,6,0,1034,Cover
Set the Controls for the Heart of the Sun Jam,7/11/06,7/11/06,1,0,1034,
Monstrosity,4/29/03,7/12/06,40,0,1033,Original
Let It Bleed,10/12/03,7/14/06,11,0,1031,Cover
The Earth Will Swallow You,4/6/90,7/18/06,27,0,1029,Original
Song For Sitara,3/30/05,7/18/06,14,0,1029,Original
Doreatha,5/13/95,7/19/06,57,0,1028,Cover
Nebulous,4/17/03,7/23/06,46,0,1025,Original
Can't Change The Past,8/10/06,8/10/06,1,0,1012,Original
Traveler's Rest,8/10/06,8/10/06,1,0,1012,Cover
Tennessee Before Daylight,8/13/06,8/13/06,1,0,1009,Cover
Cant Get There From Here,10/30/06,10/30/06,1,0,976,Cover
John's Other Jam,10/30/06,10/30/06,1,0,976,
People Are Strange,10/30/06,10/30/06,1,0,976,Cover
