Song Title,First,Last,Total,SLP,Cover,Original
Little By Little,02/14/25,08/23/25,9,1,,
Drums,02/14/25,08/22/25,8,2,,
King Baby,02/16/25,08/21/25,8,3,,
Ain't Life Grand,02/14/25,08/21/25,7,3,,
Pigeons,02/15/25,08/23/25,7,1,,
Porch Song,02/16/25,08/23/25,7,1,,
All Time Low,02/16/25,08/23/25,6,1,,
Blue Indian,02/15/25,08/23/25,6,1,,
Climb To Safety,03/22/25,08/22/25,6,2,,
Halloween Face,02/15/25,08/08/25,6,5,,
Holden Oversoul,02/15/25,08/23/25,6,1,,
Love Tractor,02/14/25,08/22/25,6,2,,
Rebirtha,02/14/25,08/23/25,6,1,,
Saint Ex,02/14/25,08/22/25,6,2,,
Surprise Valley,02/14/25,08/23/25,6,1,,
We Walk Each Other Home,02/15/25,07/25/25,6,7,,
Wondering,02/16/25,08/08/25,6,5,,
Bust It Big,02/15/25,08/22/25,5,2,,
Chilly Water,02/16/25,08/21/25,5,3,,
Diner,03/21/25,08/22/25,5,2,,
Disco,03/21/25,08/23/25,5,1,,
Driving Song,02/16/25,08/09/25,5,4,,
Goodpeople,03/21/25,07/26/25,5,6,,
Greta,02/14/25,08/22/25,5,2,,
Henry Parsons Died,03/21/25,08/22/25,5,2,,
Jack,03/23/25,08/22/25,5,2,,
Little Kin,02/16/25,08/22/25,5,2,,
Party At Your Mama's House,02/15/25,08/23/25,5,1,,
Pleas,02/14/25,08/21/25,5,3,,
Ribs And Whiskey,02/14/25,08/09/25,5,4,,
Ride Me High,02/15/25,08/21/25,5,3,,
Small Town,04/24/25,08/21/25,5,3,,
Space Wrangler,03/22/25,08/09/25,5,4,,
Stop Breakin' Down Blues,02/15/25,07/25/25,5,7,,
Tall Boy,02/14/25,08/21/25,5,3,,
Trashy,02/15/25,08/08/25,5,5,,
Walkin' (For Your Love),02/14/25,08/09/25,5,4,,
Action Man,03/23/25,08/22/25,4,2,,
Airplane,03/22/25,08/08/25,4,5,,
Barstools and Dreamers,03/22/25,08/08/25,4,5,,
Bear's Gone Fishin',04/26/25,08/21/25,4,3,,
Big Wooly Mammoth,02/15/25,08/08/25,4,5,,
Blackout Blues,02/16/25,08/08/25,4,5,,
Blight,02/15/25,07/26/25,4,6,,
Fishwater,03/21/25,08/09/25,4,4,,
Goin' Out West,03/21/25,08/22/25,4,2,,
Hatfield,02/14/25,07/26/25,4,6,,
Honky Red,02/15/25,06/29/25,4,9,,
I'm Not Alone,02/14/25,07/26/25,4,6,,
Little Lilly,02/16/25,08/22/25,4,2,,
Papa's Home,02/16/25,08/09/25,4,4,,
Pickin' Up The Pieces,02/16/25,08/09/25,4,4,,
Pilgrims,03/22/25,08/08/25,4,5,,
Postcard,03/23/25,08/23/25,4,1,,
Red Hot Mama,02/14/25,08/08/25,4,5,,
Rock,03/21/25,07/25/25,4,7,,
Second Skin,03/22/25,07/25/25,4,7,,
Tie Your Shoes,04/25/25,08/22/25,4,2,,
Up All Night,03/22/25,08/08/25,4,5,,
You Got Yours,02/16/25,08/21/25,4,3,,
Arleen,03/23/25,08/22/25,3,2,,
Bowlegged Woman,02/14/25,08/21/25,3,3,,
C. Brown,03/21/25,08/08/25,3,5,,
Chainsaw City,02/15/25,07/25/25,3,7,,
Conrad,04/24/25,08/09/25,3,4,,
Cosmic Confidante,03/23/25,08/23/25,3,1,,
Cotton Was King,03/21/25,08/09/25,3,4,,
Dyin' Man,03/23/25,08/23/25,3,1,,
Fishing,02/14/25,07/24/25,3,8,,
For What It's Worth,03/21/25,08/22/25,3,2,,
I'm So Glad,02/15/25,06/27/25,3,11,,
Imitation Leather Shoes,04/24/25,08/21/25,3,3,,
Junior,02/14/25,06/28/25,3,10,,
Keep Me in Your Heart,02/14/25,07/26/25,3,6,,
Life During Wartime,03/21/25,08/21/25,3,3,,
Low Spark Of High Heeled Boys,03/23/25,08/23/25,3,1,,
Machine,03/22/25,08/08/25,3,5,,
Mercy,02/15/25,06/27/25,3,11,,
One Arm Steve,04/26/25,08/21/25,3,3,,
Protein Drink,04/25/25,08/08/25,3,5,,
Sewing Machine,04/25/25,08/08/25,3,5,,
Shut Up And Drive,03/23/25,08/21/25,3,3,,
Sleeping Man,03/22/25,07/25/25,3,7,,
Tackle Box Hero,03/21/25,08/21/25,3,3,,
This Part Of Town,06/04/25,08/23/25,3,1,,
Thought Sausage,04/26/25,08/23/25,3,1,,
Travelin' Light,06/04/25,08/09/25,3,4,,
Travelin' Man,02/14/25,07/24/25,3,8,,
The Waker,02/14/25,07/24/25,3,8,,
And It Stoned Me,05/17/25,07/26/25,2,6,,
Aunt Avis,06/05/25,08/22/25,2,2,,
Better Off,06/05/25,07/24/25,2,8,,
Blue Carousel,02/16/25,04/26/25,2,17,,
Can't Get High,03/21/25,06/27/25,2,11,,
Cease Fire,06/06/25,08/21/25,2,3,,
Christmas Katie,03/23/25,08/08/25,2,5,,
Dark Bar,03/21/25,06/04/25,2,14,,
Dear Prudence,02/16/25,08/23/25,2,1,,
Degenerate,02/15/25,07/25/25,2,7,,
Don't Wanna Lose You,03/22/25,06/05/25,2,13,,
Down,02/15/25,04/26/25,2,17,,
End Of The Show,02/16/25,06/29/25,2,9,,
Expiration Day,04/25/25,07/26/25,2,6,,
Fairies Wear Boots,04/26/25,07/24/25,2,8,,
Fixin' To Die,04/24/25,08/21/25,2,3,,
Genesis,02/14/25,08/09/25,2,4,,
Gimme,05/17/25,08/22/25,2,2,,
I Walk On Guilded Splinters,04/26/25,08/09/25,2,4,,
Jam,04/24/25,04/25/25,2,18,,
Jamais Vu,06/06/25,07/24/25,2,8,,
Knocking 'Round The Zoo,06/28/25,08/21/25,2,3,,
The Last Straw,05/17/25,06/29/25,2,9,,
"Lawyers, Guns, And Money",04/24/25,08/09/25,2,4,,
Makes Sense To Me,04/25/25,08/08/25,2,5,,
May Your Glass Be Filled,03/23/25,08/09/25,2,4,,
Me And The Devil Blues,04/26/25,06/28/25,2,10,,
Mr. Soul,04/25/25,07/24/25,2,8,,
North,06/06/25,07/26/25,2,6,,
Radio Child,06/04/25,08/08/25,2,5,,
Running Down A Dream,05/17/25,07/25/25,2,7,,
Send Your Mind,04/24/25,06/27/25,2,11,,
Sharon,05/17/25,06/28/25,2,10,,
Smokestack Lightning,02/16/25,08/22/25,2,2,,
Tail Dragger,02/16/25,06/28/25,2,10,,
Worry,06/05/25,08/23/25,2,1,,
Black Sabbath,04/26/25,04/26/25,1,17,,
City of Dreams,07/25/25,07/25/25,1,7,,
Coconut,04/24/25,04/24/25,1,19,,
Comfortably Numb,06/29/25,06/29/25,1,9,,
Contentment Blues,08/21/25,08/21/25,1,3,,
Cream Puff War,07/26/25,07/26/25,1,6,,
Dead Flowers,06/29/25,06/29/25,1,9,,
Dear Mr. Fantasy,05/17/25,05/17/25,1,15,,
Don't Be Denied,08/21/25,08/21/25,1,3,,
Flat Foot Flewzy,07/26/25,07/26/25,1,6,,
Four Cornered Room,02/16/25,02/16/25,1,23,,
From The Cradle,06/04/25,06/04/25,1,14,,
Give,06/28/25,06/28/25,1,10,,
Godzilla,04/25/25,04/25/25,1,18,,
Good Morning Little Schoolgirl,05/16/25,05/16/25,1,16,,
The Harder They Come,06/27/25,06/27/25,1,11,,
Heroes (DB),02/15/25,02/15/25,1,24,,
Impossible,08/08/25,08/08/25,1,5,,
Iron Man,07/25/25,07/25/25,1,7,,
Jessica,06/28/25,06/28/25,1,10,,
Let It Rock,08/09/25,08/09/25,1,4,,
Let's Get The Show On The Road,06/06/25,06/06/25,1,12,,
Life As A Tree,06/29/25,06/29/25,1,9,,
Little Wing,05/17/25,05/17/25,1,15,,
Machine Gun,02/16/25,02/16/25,1,23,,
Maggot Brain,03/21/25,03/21/25,1,22,,
No Sugar Tonight/New Mother Nature,04/24/25,04/24/25,1,19,,
Nobody's Loss,08/09/25,08/09/25,1,4,,
None of Us Are Free,06/06/25,06/06/25,1,12,,
Old Joe,07/24/25,07/24/25,1,8,,
Old Neighborhood,05/16/25,05/16/25,1,16,,
One Kind Favor,03/21/25,03/21/25,1,22,,
Papa Johnny Road,05/17/25,05/17/25,1,15,,
Proving Ground,04/25/25,04/25/25,1,18,,
Red Beans,08/23/25,08/23/25,1,1,,
Rockin' In The Free World,06/05/25,06/05/25,1,13,,
Rumble,07/25/25,07/25/25,1,7,,
Slippin' Into Darkness,07/24/25,07/24/25,1,8,,
Sometimes,02/16/25,02/16/25,1,23,,
Sparks Fly,05/16/25,05/16/25,1,16,,
Steven's Cat,02/14/25,02/14/25,1,25,,
Stop-Go,03/21/25,03/21/25,1,22,,
The Take Out,02/16/25,02/16/25,1,23,,
There Is A Time,07/25/25,07/25/25,1,7,,
Time Is Free,06/27/25,06/27/25,1,11,,
Vacation,03/23/25,03/23/25,1,20,,
Visiting Day,08/09/25,08/09/25,1,4,,
Walk On,03/22/25,03/22/25,1,21,,
War Pigs,07/26/25,07/26/25,1,6,,
"Weak Brain, Narrow Mind",05/16/25,05/16/25,1,16,,
Weight Of The World,06/04/25,06/04/25,1,14,,
You Can't Always Get What You Want,06/27/25,06/27/25,1,11,,
You Wreck Me,03/22/25,03/22/25,1,21,,
